year,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donated,tons_biomaterial_processing,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incinerated,tons_land_application,tons_landfilled,tons_sewer,tons_refuse_discards,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted,sector_farm,sector_foodservice,sector_manufacturing,sector_residential,sector_retail,food_type_breads_&_bakery,food_type_dairy_&_eggs,food_type_dry_goods,food_type_fresh_meat_&_seafood,food_type_frozen,food_type_prepared_foods,food_type_produce,food_type_ready-to-drink_beverages
2022,1997646.228,5634096.228,2261667560.0,1997646.228,1997646.228,179788.1605,699035.3761,0.0,0.0,0.0,0.0,0.0,1997646.228,0.0,0.0,0.0,0.0,0.0,421056.4858,85332.52184,506389.0077,64420076638.0,3329410380.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,59827.72441,161005.9882,73476097.07,47138.58928,58916.97828,5384.495196,31758.19994,910.7461239,0.0,11778.389,0.0,0.0,42155.98823,14.83484413,0.0,474.6832831,0.0,4493.082923,12514.28484,1166.909266,13681.19411,1914639024.0,98194963.8,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,185646.4778,3389199.021,95761072.62,125299.761,173915.86,20421.11256,76508.95888,11730.61786,0.0,48616.09893,0.0,0.0,99749.02106,553.1537347,0.0,9747.762201,0.0,15249.82405,37893.612,4140.350282,42033.96228,5797581432.0,289859766.6,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,631504.9666,4044107.787,351364882.4,590478.3959,623529.9342,195766.5396,261659.9506,7975.032419,0.0,33051.53828,0.0,0.0,573107.7866,343.3236994,0.0,6659.729298,0.0,10367.55631,132265.8093,24378.02644,156643.8358,20236176797.0,1039216557.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,438.0,1438.0,741534.0,438.0,438.0,8.76,173.4009427,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,92.32002054,18.70984163,111.0298622,14124619.85,730000.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,34851.33465,91542.44367,111966204.9,27449.06758,34320.04658,5576.213544,18506.71877,531.2880644,0.0,6870.979,0.0,0.0,24542.44367,6.416606832,0.0,279.1461109,0.0,2621.061201,7289.844079,677.1625086,7967.006588,1115319023.0,57200077.64,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,2185.325907,5713.743657,2335550.706,1721.049536,2152.003076,830.4238447,1160.527671,33.322831,0.0,430.9535399,0.0,0.0,1538.743657,3.265384554,0.0,14.64534754,0.0,164.395147,457.1030886,44.29921428,501.4023029,69935071.98,3586671.793,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,208610.6633,826011.1436,249414745.0,165599.9997,205523.6291,8344.426533,109950.8656,3087.034284,0.0,39923.62931,0.0,0.0,148711.1436,83.96696549,0.0,1575.287136,0.0,15229.60204,43644.84798,4225.739742,47870.58772,6677499369.0,342539381.8,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,255399.3167,835442.6464,137272097.0,201921.5756,251561.0216,25539.93167,135133.3176,3838.295124,0.0,49639.44602,0.0,0.0,180922.6464,142.7699054,0.0,1920.280369,0.0,18935.87886,53427.61347,5108.970272,58536.58375,8174226094.0,419268369.3,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,12459.3711,315305.8673,4344616.811,12392.21203,12454.65608,1121.343399,8483.106705,4.715025987,0.0,62.44404572,0.0,0.0,12365.86727,0.484469875,0.0,1.99298947,0.0,23.86729801,2625.643267,525.0981046,3150.741371,401713656.2,20757760.13,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,40349.76512,109738.8506,54671698.36,31797.17008,39735.91377,2420.985907,21415.34706,613.8513547,0.0,7938.743687,0.0,0.0,28438.85065,9.050716702,0.0,320.8890521,0.0,3028.379663,8440.081745,786.9761545,9227.0579,1291301107.0,66226522.94,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,1745659.843,23403503.93,544107202.8,1114490.435,1622968.709,436414.9608,574933.1761,122691.1344,0.0,508478.2744,0.0,0.0,847253.9335,8442.174176,0.0,99295.63439,0.0,159498.6925,355013.5558,36648.93906,391662.4949,54315750827.0,2704947848.0,1,0,0,0,0,0,0,0,0,0,0,1,0
